"DisplayName","DisplayVersion","Publisher","InstallDate"
"DB Browser for SQLite","3.13.1","DB Browser for SQLite Team","20250817"
"Demo Suite","11.2","NVIDIA Corporation","20201226"
"Devart ODBC Driver for SQLite 4.5.2","4.5.2","Devart","20250809"
"DiagnosticsHub_CollectionService","17.14.36412","Microsoft Corporation","20250830"
"Disassembler","11.2","NVIDIA Corporation","20201226"
"DJI Assistant 2 version V1.2.5","V1.2.5","DJI","20230828"
"DJI Flight Simulator 2.2.0.0","2.2.0.0","DJI",
"DJI Thermal Analysis Tool","V2.0.11","DJI Tech, Inc.",
"Docker Desktop","4.54.0","Docker Inc.",
"Documentation Manager","24.0.2.1","Intel Corporation","20251210"
"dotnetfx","4.8.0.20220524","Chocolatey",
"doxygen 1.14.0","1.14.0","Dimitri van Heesch","20250831"
"Dynamic Application Loader Host Interface Service","1.0.0.0","Intel Corporation","20211210"
"ENE RGB HAL","1.1.53.0","Ene Tech.","20241108"
"ENE RGB HAL","1.1.53.0","Ene Tech.",
"ENE_EHD_M2_HAL","1.0.13.0","ENE TECHNOLOGY INC.",
"ENE_EHD_M2_HAL","1.0.13.0","ENE TECHNOLOGY INC.","20241108"
"Entity Framework 6.5.0 Tools  for Visual Studio 2022","6.5.0.0","Microsoft Corporation","20250802"
"EOS Webcam Utility Pro","2.1.18","Canon U.S.A., Inc.","20240112"
"Epubor Audible Converter","1.0.10.288","Epubor Studio",
"FFmpeg 5.0.0 for Audacity - x86_64",,,"20240110"
"FileZilla 3.69.5","3.69.5","Tim Kosse",
"FLICK version 1.0.0.40","1.0.0.40","Fnatic Gear","20221229"
"FurMark ROG 2.9.0.0 x64","2.9.0.0","Geeks3D","20250831"
"GDR 6169 for SQL Server 2014 (KB5014165) (64-bit)","12.3.6169.19","Microsoft Corporation","20221007"
"GDR 6174 for SQL Server 2014 (KB5021037) (64-bit)","12.3.6174.8","Microsoft Corporation","20230214"
"GDR 6179 for SQL Server 2014 (KB5029184) (64-bit)","12.3.6179.1","Microsoft Corporation","20231020"
"Geeks3D FurMark 2.8.0.0 x64","2.8.0.0","Geeks3D","20250517"
"Git","2.52.0","The Git Development Community","20251118"
"GlideX Service Installer","1.0.9.0","ASUSTeK COMPUTER INC.","20220422"
"GNU Privacy Guard","2.4.8","The GnuPG Project",
"Go Programming Language amd64 go1.25.1","1.25.1","https://go.dev","20250915"
"Google Chrome","143.0.7499.109","Google LLC","20251210"
"Gpg4win (4.4.1)","4.4.1","The Gpg4win Project",
"GPU Tweak III","1.2.4.1","ASUS",
"GPU Tweak III","1.2.4.1","ASUS","20210413"
"Graphviz","13.1.2","Graphviz",
"GTK2-Runtime","2.22.0-2010-10-21-ash","Alexander Shaduri",
"HP Presence Video","3.3.30.0","HP Inc.","20240505"
"HWiNFO® 64","8.30","Martin Malik, REALiX s.r.o.","20250921"
"icecap_collection_neutral","17.14.36015","Microsoft Corporation","20250802"
"icecap_collection_x64","17.14.36015","Microsoft Corporation","20250802"
"icecap_collectionresources","17.14.36015","Microsoft Corporation","20250802"
"icecap_collectionresourcesx64","17.14.36015","Microsoft Corporation","20250802"
"IIS 10.0 Express","10.0.10007","Microsoft Corporation","20250802"
"IIS Express Application Compatibility Database for x64",,,
"IIS Express Application Compatibility Database for x86",,,
"Imaging And Configuration Designer (DesktopEditions)","10.1.26100.2454","Microsoft","20250916"
"Imaging And Configuration Designer (OnecoreUAP)","10.1.26100.2454","Microsoft","20250916"
"Imaging Designer (DesktopEditions)","10.1.26100.2454","Microsoft","20250916"
"Imaging Designer (OnecoreUAP)","10.1.26100.2454","Microsoft","20250916"
"Imaging Tools Support (DesktopEditions)","10.1.26100.2454","Microsoft","20250916"
"Imaging Tools Support (OnecoreUAP)","10.1.26100.2454","Microsoft","20250916"
"Inno Setup version 6.5.3","6.5.3","jrsoftware.org","20250921"
